depth_m(positive_down),temperature_C,salinity_PSU
-2.92782e-06,26.3479,40.6345
37.4885,25.7002,40.5477
74.9769,24.4732,40.445
112.465,23.5363,40.4301
149.954,22.8449,40.4464
187.442,22.3738,40.4799
224.931,22.0964,40.5296
262.419,21.8345,40.5881
299.908,21.6242,40.6331
337.396,21.4699,40.6609
374.885,21.3566,40.6775
412.373,21.2783,40.691
449.862,21.2283,40.7046
487.35,21.1956,40.7168
524.839,21.1701,40.7258
562.327,21.1476,40.7314
599.815,21.1273,40.7344
637.304,21.1092,40.7358
674.792,21.0941,40.7365
712.281,21.0826,40.7368
749.769,21.0777,40.737
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
--,--,--
